4096, 48.592, 17706558510, 17334730364
6144, 164.263, 59730941193, 58586319984
8192, 391.563, 141493834397, 141056388335
10240, 765.795, 276062704903, 296076335537
800, 0.407062, 64597125, 18971682
900, 0.60034, 91950881, 36609634
1000, 0.815019, 126372677, 50248599
1100, 1.07419, 167583273, 73762866
6, 0.000155, 1845, 937
8, 0.000288, 1653, 639
6, 5e-06, 287, 209
8, 5e-06, 354, 189
6, 5e-06, 480, 275
8, 4e-06, 376, 226
4, 4e-06, 481, 290
4, 3e-06, 344, 224
10, 8e-06, 552, 306
10, 0.000334, 1132, 539
10, 8e-06, 797, 496
11, 8e-06, 383, 227
12, 9e-06, 411, 236
10, 0.000277, 1170, 780
4, 0.000108, 1004, 711
4, 4e-06, 278, 180
4, 4e-06, 455, 255
10, 0.000421, 1915, 1000
10, 0.000217, 1642, 885
10, 9e-06, 510, 309
1500, 3.36534, 446118882, 346497705
1600, 4.28962, 4220469942, 9515505
1500, 2.71353, 427237830, 182498800
1600, 3.33252, 519919003, 220627875
1500, 29.4711, 5051665311, 549012994
1600, 36.6494, 6157347591, 4361700608
1500, 3.27568, 480003244, 100416860
1600, 4.05554, 578102448, 121519556
1500, 3.25537, 479901762, 102779523
4, 0.000716, 3350, 794
4, 0.00043, 4303, 791
4, 0.000478, 5458, 1294
4, 3e-06, 376, 258
10, 0.007001, 74896, 5892
10, 1.5e-05, 1147, 741
10, 3e-06, 364, 218
10, 6e-06, 923, 705
1500, 2.40586, 477026503, 102188909
1500, 2.74865, 428373269, 185178596
1500, 2.74072, 427729669, 185222531
1500, 2.73831, 428306192, 184782673
1500, 2.42864, 476212105, 101664829
4000, 45.2266, 8959058621, 1907056856
10, 1e-05, 922, 734
10, 0.000324, 1367, 727
10, 5e-06, 306, 212
10, 0.000332, 2214, 983
10, 0.109508, 723057, 93182
100, 0.00265, 23257, 4439
1000, 0.826443, 126363871, 50340551
1000, 0.710056, 140047733, 34166380
1600, 3.2641, 519562619, 222697517
1600, 2.93847, 573156486, 135651454
100, 0.003157, 129953, 3427
100, 0.004079, 30510, 13307
