1024, 1.62159e+09, 1.32431e-09, 0, 0
2048, 1.00966e+10, 1.70154e-09, 0, 0
3072, 2.70346e+10, 2.14473e-09, 0, 0
4096, 6.13072e+10, 2.24181e-09, 0, 0
5120, 1.07621e+11, 2.49428e-09, 0, 0
6144, 1.76646e+11, 2.62591e-09, 0, 0
7168, 2.6978e+11, 2.73033e-09, 0, 0
8192, 4.00553e+11, 2.74498e-09, 0, 0
1024, 3.31547e+08, 6.47715e-09, 0, 0
2048, 4.93907e+09, 3.47836e-09, 0, 0
3072, 1.62685e+10, 3.56407e-09, 0, 0
4096, 3.72674e+10, 3.68792e-09, 0, 0
5120, 7.23223e+10, 3.71166e-09, 0, 0
6144, 1.28994e+11, 3.59597e-09, 0, 0
7168, 2.08475e+11, 3.53322e-09, 0, 0
8192, 3.11356e+11, 3.53136e-09, 0, 0
1024, 2.65035e+08, 8.10265e-09, 2974753, 0
2048, 4.62945e+09, 3.71099e-09, 17595044, 0
3072, 1.51252e+10, 3.83349e-09, 52204924, 0
4096, 3.57279e+10, 3.84682e-09, 112184237, 0
5120, 6.90606e+10, 3.88696e-09, 212131764, 0
6144, 1.18688e+11, 3.90818e-09, 354675058, 0
7168, 1.97702e+11, 3.72575e-09, 553779420, 0
8192, 2.91596e+11, 3.77067e-09, 825447220, 0
1024, 7.12232e+07, 3.01515e-08, 0, 0
2048, 1.81558e+09, 9.46247e-09, 0, 0
3072, 9.30474e+09, 6.23145e-09, 0, 0
4096, 2.30304e+10, 5.96772e-09, 0, 0
5120, 4.46763e+10, 6.00846e-09, 0, 0
6144, 7.37615e+10, 6.2886e-09, 0, 0
7168, 1.16697e+11, 6.31199e-09, 0, 0
8192, 1.74266e+11, 6.30938e-09, 0, 0
